Tue, May 10, 2022  21:17:08 Europe/Madrid

Nr. NCSS CCN JVDC Function
  1    3   1    0 org.pmoo.ajedrez.Ajedrez.Ajedrez()
  2    4   2    0 org.pmoo.ajedrez.Ajedrez.getMiAjedrez()
  3   15   4    0 org.pmoo.ajedrez.Ajedrez.jugarPartida()
  4   15   2    0 org.pmoo.ajedrez.Ajedrez.crearJugadores()
  5   12   3    0 org.pmoo.ajedrez.Ajedrez.turno()
  6    6   2    0 org.pmoo.ajedrez.Alfil.Alfil(Color)
  7   27  30    0 org.pmoo.ajedrez.Alfil.puedeMover(Coordenada,Coordenada,Casilla)
  8   54  62    0 org.pmoo.ajedrez.Alfil.puedeComer(Coordenada,Coordenada,Casilla)
  9    6   2    0 org.pmoo.ajedrez.Caballo.Caballo(Color)
 10   19  26    0 org.pmoo.ajedrez.Caballo.puedeMover(Coordenada,Coordenada,Casilla)
 11   38  54    0 org.pmoo.ajedrez.Caballo.puedeComer(Coordenada,Coordenada,Casilla)
 12    2   1    0 org.pmoo.ajedrez.Casilla.Casilla()
 13    2   1    0 org.pmoo.ajedrez.Casilla.imprimirPieza()
 14    2   1    0 org.pmoo.ajedrez.Casilla.setPieza(Pieza)
 15    2   1    0 org.pmoo.ajedrez.Casilla.getPieza()
 16    2   1    0 org.pmoo.ajedrez.Color.Color(String)
 17    2   1    0 org.pmoo.ajedrez.Color.getColor()
 18    3   1    0 org.pmoo.ajedrez.Coordenada.Coordenada(int,int)
 19    2   1    0 org.pmoo.ajedrez.Coordenada.getFila()
 20    2   1    0 org.pmoo.ajedrez.Coordenada.getColumna()
 21    6   2    0 org.pmoo.ajedrez.Dama.Dama(Color)
 22   47  54    0 org.pmoo.ajedrez.Dama.puedeMover(Coordenada,Coordenada,Casilla)
 23   94 110    0 org.pmoo.ajedrez.Dama.puedeComer(Coordenada,Coordenada,Casilla)
 24    3   1    0 org.pmoo.ajedrez.Jugador.Jugador(String,Color)
 25    2   1    0 org.pmoo.ajedrez.Jugador.getNombre()
 26    2   1    0 org.pmoo.ajedrez.Jugador.imprimirColor()
 27    2   1    0 org.pmoo.ajedrez.Jugador.getColor()
 28    2   1    0 org.pmoo.ajedrez.Main.main(String[])
 29    2   1    0 org.pmoo.ajedrez.NoPieza.NoPieza(Color)
 30    2   1    0 org.pmoo.ajedrez.NoPieza.NoPieza()
 31    2   1    0 org.pmoo.ajedrez.NoPieza.visualizarPieza()
 32    6   2    0 org.pmoo.ajedrez.Peon.Peon(Color)
 33   13  19    0 org.pmoo.ajedrez.Peon.puedeMover(Coordenada,Coordenada,Casilla)
 34   13  19    0 org.pmoo.ajedrez.Peon.puedeComer(Coordenada,Coordenada,Casilla)
 35    3   1    0 org.pmoo.ajedrez.Pieza.Pieza(Color)
 36    2   1    0 org.pmoo.ajedrez.Pieza.mover(Casilla)
 37    2   1    0 org.pmoo.ajedrez.Pieza.visualizarPieza()
 38    2   1    0 org.pmoo.ajedrez.Pieza.puedeMover(Coordenada,Coordenada,Casilla)
 39    2   1    0 org.pmoo.ajedrez.Pieza.getColor()
 40    2   1    0 org.pmoo.ajedrez.Pieza.setColor(Color)
 41    2   1    0 org.pmoo.ajedrez.Pieza.getNumeroPieza()
 42    2   1    0 org.pmoo.ajedrez.Pieza.setNumeroPieza(int)
 43    2   1    0 org.pmoo.ajedrez.Pieza.resetearNumeroPieza()
 44    2   1    0 org.pmoo.ajedrez.Pieza.puedeComer(Coordenada,Coordenada,Casilla)
 45    2   1    0 org.pmoo.ajedrez.Pieza.setPiezaAImprimir(String)
 46    6   2    0 org.pmoo.ajedrez.Rey.Rey(Color)
 47   19  26    0 org.pmoo.ajedrez.Rey.puedeMover(Coordenada,Coordenada,Casilla)
 48   38  54    0 org.pmoo.ajedrez.Rey.puedeComer(Coordenada,Coordenada,Casilla)
 49    3   1    0 org.pmoo.ajedrez.Tablero.Tablero()
 50    4   2    0 org.pmoo.ajedrez.Tablero.getMiTablero()
 51   24   5    0 org.pmoo.ajedrez.Tablero.inicializarTablero()
 52   25  12    0 org.pmoo.ajedrez.Tablero.jaqueMate()
 53   19  14    0 org.pmoo.ajedrez.Tablero.jaque(Jugador)
 54  112  65    0 org.pmoo.ajedrez.Tablero.reyAhogado()
 55    8   6    0 org.pmoo.ajedrez.Tablero.coronacion()
 56   13   7    0 org.pmoo.ajedrez.Tablero.seleccionarPieza()
 57   31  16    0 org.pmoo.ajedrez.Tablero.imprimirTableroConNumeros(Jugador)
 58   34  13    0 org.pmoo.ajedrez.Tablero.seleccionarMovimiento()
 59   32  15    0 org.pmoo.ajedrez.Tablero.imprimirMovimientosConNumeros(j[][])
 60    2   1    0 org.pmoo.ajedrez.Tablero.casillaVacia(Coordenada)
 61    2   1    0 org.pmoo.ajedrez.Teclado.Teclado()
 62    3   1    0 org.pmoo.ajedrez.Teclado.pedirEntrada()
 63    4   2    0 org.pmoo.ajedrez.Teclado.getTeclado()
 64    6   2    0 org.pmoo.ajedrez.Torre.Torre(Color)
 65   23  26    0 org.pmoo.ajedrez.Torre.puedeMover(Coordenada,Coordenada,Casilla)
 66   46  54    0 org.pmoo.ajedrez.Torre.puedeComer(Coordenada,Coordenada,Casilla)
Average Function NCSS:      13.50
Average Function CCN:       11.32
Average Function JVDC:       0.00
Program NCSS:              956.00
