"name", "Character Count", "Word Count", "Single Lines of Code", "Methods", "Public Methods", "Protected Methods", "Private Methods", "Package Methods", "Final Methods", "Abstract Methods", "Deprecated Methods", "Synthetic Methods", "Static Methods", "Synchronized Methods", "Native Methods", "Trivial Methods", "Ratio of Public Methods", "Ratio of Protected Methods", "Ratio of Private Methods", "Ratio of Package Methods", "Ratio of Final Methods", "Ratio of Abstract Methods", "Ratio of Deprecated Methods", "Ratio of Synthetic Methods", "Ratio of Static Methods", "Ratio of Synchronized Methods", "Ratio of Native Methods", "Ratio of Trivial Methods", "Attributes", "Public Attributes", "Protected Attributes", "Private Attributes", "Package Attributes", "Final Attributes", "Deprecated Attributes", "Synthetic Attributes", "Static Attributes", "Transient Attributes", "Volatile Attributes", "Ratio of Public Attributes", "Ratio of Protected Attributes", "Ratio of Private Attributes", "Ratio of Package Attributes", "Ratio of Final Attributes", "Ratio of Deprecated Attributes", "Ratio of Synthetic Attributes", "Ratio of Static Attributes", "Ratio of Transient Attributes", "Ratio of Volatile Attributes", "Inner Classes", "Public Inner Classes", "Protected Inner Classes", "Private Inner Classes", "Package Inner Classes", "Abstract Inner Classes", "Final Inner Classes", "Static Inner Classes", "Ratio of Public Inner Classes", "Ratio of Protected Inner Classes", "Ratio of Private Inner Classes", "Ratio of Package Inner Classes", "Ratio of Abstract Inner Classes", "Ratio of Final Inner Classes", "Ratio of Static Inner Classes", "Subclasses", "Depth of Inheritance", "Parameters per Method", "Parameters per Method", "Parameters per Method", "Parameters per Method", "Parameters per Method", "Parameters per Method", "Parameters per Method", "Local Variables per Method", "Local Variables per Method", "Local Variables per Method", "Local Variables per Method", "Local Variables per Method", "Local Variables per Method", "Local Variables per Method", "Inbound Intra-Package Dependencies", "Inbound Extra-Package Dependencies", "Outbound Intra-Package Dependencies", "Outbound Extra-Package Dependencies", "Inbound Intra-Package Method Dependencies", "Inbound Extra-Package Method Dependencies"
, "CNCC", "CNWC", "SLOC", "M", "PuM", "ProM", "PriM", "PaM", "FM", "AM", "DM", "SynthM", "SM", "SynchM", "NM", "TM", "PuMR", "ProMR", "PriMR", "PaMR", "FMR", "AMR", "DMR", "SynthMR", "SMR", "SynchMR", "NMR", "TMR", "A", "PuA", "ProA", "PriA", "PaA", "FA", "DA", "SynthA", "SA", "TA", "VA", "PuAR", "ProAR", "PriAR", "PaAR", "FAR", "DAR", "SynthAR", "SAR", "TAR", "VAR", "IC", "PuIC", "ProIC", "PriIC", "PaIC", "AIC", "FIC", "SIC", "PuICR", "ProICR", "PriICR", "PaICR", "AICR", "FICR", "SICR", "SUB", "DOI", "PARAM", "PARAM", "PARAM", "PARAM", "PARAM", "PARAM", "PARAM", "LVAR", "LVAR", "LVAR", "LVAR", "LVAR", "LVAR", "LVAR", "IIP", "IEP", "OIP", "OEP", "IIPM", "IEPM"
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , minimum, median, average, std dev, maxium, sum, nb, minimum, median, average, std dev, maxium, sum, nb, , , , , , 
"org.pmoo.ajedrez.Ajedrez", 7.0, 1.0, 51.0, 5.0, 3.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5, 0.0, 1.0, 2.2, 1.9390719429665317, 5.0, 11.0, 5, 0, 0, 3, 1, 1, 0
"org.pmoo.ajedrez.Alfil", 5.0, 1.0, 100.0, 5.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, 1.0, 1.4, 1.3564659966250536, 3.0, 7.0, 5, 0.0, 2.0, 4.4, 4.8, 12.0, 22.0, 5, 0, 0, 1, 1, 0, 0
"org.pmoo.ajedrez.Caballo", 7.0, 1.0, 64.0, 5.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, 1.0, 1.4, 1.3564659966250536, 3.0, 7.0, 5, 0.0, 2.0, 2.0, 1.7888543819998317, 4.0, 10.0, 5, 0, 0, 1, 1, 0, 0
"org.pmoo.ajedrez.Casilla", 7.0, 1.0, 10.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.25, 0.4330127018922193, 1.0, 1.0, 4, 1.0, 1.0, 1.25, 0.4330127018922193, 2.0, 5.0, 4, 1, 0, 1, 1, 26, 0
"org.pmoo.ajedrez.Color", 5.0, 1.0, 12.0, 7.0, 3.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.42857142857142855, 0.0, 0.2857142857142857, 0.14285714285714285, 0.0, 0.0, 0.0, 0.0, 0.5714285714285714, 0.0, 0.0, 0.0, 4.0, 2.0, 0.0, 2.0, 0.0, 4.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 1.0, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.5714285714285714, 1.049781318335648, 3.0, 4.0, 7, 0.0, 0.0, 0.5714285714285714, 0.7284313590846836, 2.0, 4.0, 7, 3, 0, 0, 2, 33, 0
"org.pmoo.ajedrez.Coordenada", 10.0, 1.0, 9.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.9428090415820634, 2.0, 2.0, 3, 1.0, 1.0, 1.6666666666666667, 0.9428090415820634, 3.0, 5.0, 3, 0, 0, 0, 1, 19, 0
"org.pmoo.ajedrez.Dama", 4.0, 1.0, 172.0, 5.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, 1.0, 1.4, 1.3564659966250536, 3.0, 7.0, 5, 0.0, 2.0, 6.8, 7.959899496852959, 20.0, 34.0, 5, 0, 0, 1, 1, 0, 0
"org.pmoo.ajedrez.Jugador", 7.0, 1.0, 10.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.5, 0.8660254037844386, 2.0, 2.0, 4, 1.0, 1.0, 1.5, 0.8660254037844386, 3.0, 6.0, 4, 1, 0, 1, 2, 4, 0
